stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,41.681,Man Utd
Anfield,60.725,39.553,Liverpool FC
Emirates,60.704,37.568,Arsenal FC
,52.338,36.506,
Goodison Park,39.571,35.427,Everton FC
Elland Road,37.89,32.629,Leeds United
Villa Park,42.682,32.614,Aston Villa
Tottenham Hotspur,62.85,30.548,Spurs
Riverside,33.746,29.257,Middlesbrough FC
Etihad,55.017,27.941,Man City
Ewood Park,31.367,27.714,Blackburn Rovers
The City Ground,30.445,25.916,Nottm Forest
Stamford Bridge,40.853,25.598,Chelsea FC
Hillsborough,39.859,24.877,Sheff Weds
,62.5,22.317,
,28.723,18.822,
Coventry,32.609,18.528,Coventry City
Loftus Road,18.36,15.672,QPR
St Mary's,32.384,14.822,Southampton FC
Selhurst Park,26.309,13.243,Wimbledon FC
