stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,44.244,Man Utd
Anfield,60.725,38.503,Liverpool FC
Elland Road,37.89,34.506,Leeds United
,52.338,33.792,
Emirates,60.704,30.492,Arsenal FC
Villa Park,42.682,28.97,Aston Villa
Tottenham Hotspur,62.85,27.255,Spurs
Hillsborough,39.859,27.187,Sheff Weds
Etihad,55.017,26.334,Man City
Goodison Park,39.571,22.912,Everton FC
,62.5,20.831,
Bramall Lane,32.702,19.456,Sheff Utd
Stamford Bridge,40.853,19.211,Chelsea FC
Carrow Road,27.244,18.179,Norwich City
Ewood Park,31.367,17.414,Blackburn Rovers
Portman Road,29.673,16.411,Ipswich Town
,15.728,15.035,
St Mary's,32.384,14.778,Southampton FC
Loftus Road,18.36,14.133,QPR
Coventry,32.609,13.564,Coventry City
Boundary Park,13.513,12.569,Oldham Athletic
Selhurst Park,26.309,10.462,Wimbledon FC
