stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,55.188,Man Utd
Anfield,60.725,43.321,Liverpool FC
Emirates,60.704,38.024,Arsenal FC
Villa Park,42.682,36.937,Aston Villa
,52.338,36.664,
Goodison Park,39.571,36.203,Everton FC
Elland Road,37.89,35.84,Leeds United
Stamford Bridge,40.853,34.751,Chelsea FC
Riverside,33.746,34.389,Middlesbrough FC
Tottenham Hotspur,62.85,34.174,Spurs
,33.597,29.195,
Hillsborough,39.859,26.745,Sheff Weds
Ewood Park,31.367,25.761,Blackburn Rovers
,62.5,25.684,
The City Ground,30.445,24.415,Nottm Forest
Coventry,32.609,20.778,Coventry City
,32.273,20.483,
,26.875,19.823,
Selhurst Park,26.309,18.235,Wimbledon FC
St Mary's,32.384,15.14,Southampton FC
