stadium,capacity,avg_attendance,club_name
Old Trafford,74.879,55.164,Man Utd
Anfield,60.725,40.628,Liverpool FC
Emirates,60.704,38.053,Arsenal FC
,52.338,36.672,
Villa Park,42.682,36.136,Aston Villa
Goodison Park,39.571,35.355,Everton FC
Elland Road,37.89,34.641,Leeds United
Stamford Bridge,40.853,33.387,Chelsea FC
Tottenham Hotspur,62.85,29.144,Spurs
,33.597,29.105,
Hillsborough,39.859,28.706,Sheff Weds
Ewood Park,31.367,25.253,Blackburn Rovers
,62.5,25.075,
,28.723,24.352,
Selhurst Park,26.047,21.983,Wimbledon FC
,32.273,20.615,
Coventry,32.609,19.722,Coventry City
,24.009,18.443,
Selhurst Park,26.309,16.666,Wimbledon FC
St Mary's,32.384,15.159,Southampton FC
